#1D Compressible Euler Mesh File
ClassicSod
50
0 0 1 0 1 
1 0.0204082 1 0 1 
2 0.0408163 1 0 1 
3 0.0612245 1 0 1 
4 0.0816327 1 0 1 
5 0.102041 1 0 1 
6 0.122449 1 0 1 
7 0.142857 1 0 1 
8 0.163265 1 0 1 
9 0.183673 1 0 1 
10 0.204082 1 0 1 
11 0.22449 1 0 1 
12 0.244898 1 0 1 
13 0.265306 1 0 1 
14 0.285714 1 0 1 
15 0.306122 1 0 1 
16 0.326531 1 0 1 
17 0.346939 1 0 1 
18 0.367347 1 0 1 
19 0.387755 1 0 1 
20 0.408163 1 0 1 
21 0.428571 1 0 1 
22 0.44898 1 0 1 
23 0.469388 1 0 1 
24 0.489796 1 0 1 
25 0.510204 1 0 1 
26 0.530612 0.125 0 0.1 
27 0.55102 0.125 0 0.1 
28 0.571429 0.125 0 0.1 
29 0.591837 0.125 0 0.1 
30 0.612245 0.125 0 0.1 
31 0.632653 0.125 0 0.1 
32 0.653061 0.125 0 0.1 
33 0.673469 0.125 0 0.1 
34 0.693878 0.125 0 0.1 
35 0.714286 0.125 0 0.1 
36 0.734694 0.125 0 0.1 
37 0.755102 0.125 0 0.1 
38 0.77551 0.125 0 0.1 
39 0.795918 0.125 0 0.1 
40 0.816327 0.125 0 0.1 
41 0.836735 0.125 0 0.1 
42 0.857143 0.125 0 0.1 
43 0.877551 0.125 0 0.1 
44 0.897959 0.125 0 0.1 
45 0.918367 0.125 0 0.1 
46 0.938776 0.125 0 0.1 
47 0.959184 0.125 0 0.1 
48 0.979592 0.125 0 0.1 
49 1 0.125 0 0.1 
